date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-11 08:39:05.860,8565646,ETH-29NOV19-160-P,2,1570783145860,10.0,10.0,0.074,sell,2,186.2,99.56
2019-10-11 10:39:43.527,8567145,ETH-29NOV19-160-P,3,1570790383527,20.0,20.0,0.066,buy,2,185.96,92.7
2019-10-11 11:22:30.591,8568818,ETH-29NOV19-160-P,4,1570792950591,3.0,3.0,0.07,buy,0,183.77,92.73
2019-10-12 10:21:43.306,8599791,ETH-29NOV19-160-P,5,1570875703306,1.0,1.0,0.069,buy,2,182.63,90.7
2019-10-12 11:27:01.764,8600933,ETH-29NOV19-160-P,6,1570879621764,2.0,2.0,0.067,buy,2,183.23,89.97
2019-10-12 18:13:43.745,8607488,ETH-29NOV19-160-P,7,1570904023745,1.0,1.0,0.07,buy,0,180.36,88.43
2019-10-12 19:00:35.720,8609217,ETH-29NOV19-160-P,9,1570906835720,1.0,1.0,0.071,buy,1,180.23,88.99
2019-10-12 19:00:35.720,8609216,ETH-29NOV19-160-P,8,1570906835720,1.0,1.0,0.071,buy,0,180.23,88.99
2019-10-12 19:00:39.427,8609537,ETH-29NOV19-160-P,10,1570906839427,1.0,1.0,0.072,buy,0,179.63,89.04
2019-10-12 19:00:42.093,8609790,ETH-29NOV19-160-P,11,1570906842093,1.0,1.0,0.073,buy,0,178.91,88.36
