date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,29NOV19,7000,P,0.07200000000000001,81.23,1,7833.38,BTC-29NOV19-7000-P
2019-10-07,BTC,29NOV19,7000,P,0.0545,81.91,4,8220.15,BTC-29NOV19-7000-P
2019-10-08,BTC,29NOV19,7000,P,0.0545,81.69,4,8168.32,BTC-29NOV19-7000-P
2019-10-09,BTC,29NOV19,7000,P,0.0375,80.12,7,8612.87,BTC-29NOV19-7000-P
2019-10-10,BTC,29NOV19,7000,P,0.0365,79.24,19,8582.24,BTC-29NOV19-7000-P
2019-10-11,BTC,29NOV19,7000,P,0.0435,79.83,35,8342.76,BTC-29NOV19-7000-P
2019-10-12,BTC,29NOV19,7000,P,0.042,78.38,3,8312.4,BTC-29NOV19-7000-P
2019-10-13,BTC,29NOV19,7000,P,0.0395,77.36,8,8310.28,BTC-29NOV19-7000-P
2019-10-14,BTC,29NOV19,7000,P,0.036,75.72,10,8344.61,BTC-29NOV19-7000-P
2019-10-15,BTC,29NOV19,7000,P,0.04,74.06,7,8140.8,BTC-29NOV19-7000-P
2019-10-16,BTC,29NOV19,7000,P,0.042,71.54,21,7984.0,BTC-29NOV19-7000-P
2019-10-17,BTC,29NOV19,7000,P,0.038,73.25,23,8122.8,BTC-29NOV19-7000-P
